"Ne","removed"
32.0,0.0
32.0,0.015873015873015872
39.0,0.031746031746031744
48.0,0.047619047619047616
50.0,0.06349206349206349
51.0,0.07936507936507936
53.0,0.09523809523809523
53.0,0.1111111111111111
54.0,0.12698412698412698
55.0,0.14285714285714285
59.0,0.15873015873015872
63.0,0.1746031746031746
69.0,0.19047619047619047
70.0,0.20634920634920634
82.0,0.2222222222222222
93.0,0.23809523809523808
108.0,0.25396825396825395
110.0,0.2698412698412698
118.0,0.2857142857142857
117.0,0.30158730158730157
114.0,0.31746031746031744
113.0,0.3333333333333333
112.0,0.3492063492063492
129.0,0.36507936507936506
136.0,0.38095238095238093
143.0,0.3968253968253968
149.0,0.4126984126984127
142.0,0.42857142857142855
147.0,0.4444444444444444
152.0,0.4603174603174603
142.0,0.47619047619047616
135.0,0.49206349206349204
139.0,0.5079365079365079
132.0,0.5238095238095237
135.0,0.5396825396825397
147.0,0.5555555555555556
138.0,0.5714285714285714
141.0,0.5873015873015872
159.0,0.6031746031746031
147.0,0.6190476190476191
134.0,0.6349206349206349
123.0,0.6507936507936507
109.0,0.6666666666666666
123.0,0.6825396825396826
154.0,0.6984126984126984
132.0,0.7142857142857142
163.0,0.7301587301587301
150.0,0.746031746031746
127.0,0.7619047619047619
185.0,0.7777777777777777
151.0,0.7936507936507936
151.0,0.8095238095238095
151.0,0.8253968253968254
151.0,0.8412698412698412
151.0,0.8571428571428571
154.0,0.873015873015873
218.0,0.8888888888888888
357.0,0.9047619047619047
420.0,0.9206349206349206
