"","frequency.in.donor","top.95.percentile","bottom.95.percentile","top.50.percentile","bottom.50.percentile"
"1",0.02,0.294119926010064,0.0175492344214669,0.167254881155769,0.0485919991396205
"2",0.04,0.301907366040156,0.0206906166707674,0.176787890267061,0.0546585837870248
"3",0.06,0.309810504002298,0.0243803673514672,0.186742405127207,0.0613585202797984
"4",0.08,0.317826340748851,0.0287088243813762,0.197123216692382,0.0688661966606116
"5",0.1,0.325951632650088,0.033779147190712,0.207933544420968,0.0772614868936315
"6",0.12,0.334101383694055,0.0397083459846202,0.219174877040878,0.086600501953831
"7",0.14,0.342130843722783,0.046628069222813,0.230846817887566,0.0969664971328502
"8",0.16,0.350250203170291,0.0546849874144626,0.242946937950021,0.108351608536086
"9",0.18,0.358452892203054,0.0640405632208489,0.255470639994868,0.120938326593353
"10",0.2,0.366739255231113,0.0748699467537714,0.268411037305064,0.134795055731764
"11",0.22,0.375105173637872,0.0873596872016438,0.281845072107798,0.149912653110835
"12",0.24,0.38354634616455,0.101703918118644,0.29558546078052,0.166430087264157
"13",0.26,0.392058296281714,0.118098669639333,0.309706833094073,0.184372708759777
"14",0.28,0.400636380394565,0.136734007488242,0.32419235505089,0.2037768219188
"15",0.3,0.409284004396966,0.157783820366113,0.339022643978417,0.224660597860295
"16",0.32,0.418202676936408,0.180388398018364,0.354108918479902,0.247020629286356
"17",0.34,0.427175155431179,0.20493700424776,0.369169704796417,0.270721718963308
"18",0.36,0.436195810889556,0.234054124283842,0.385101201149235,0.295973970507337
"19",0.38,0.446079494894748,0.265600982545874,0.40110025250476,0.322422773484286
"20",0.4,0.455533999765474,0.30008007886255,0.417483133211599,0.34975826411337
"21",0.42,0.464545571335172,0.336852807301808,0.433854960857291,0.378057899068599
"22",0.44,0.473353907380582,0.37424121437551,0.45035568616603,0.407923510307692
"23",0.46,0.48233934251819,0.412300415996316,0.466946307834096,0.437683914762365
"24",0.48,0.491862890218564,0.45169211717004,0.483627403646801,0.468620868201084
"25",0.5,0.50657973891698,0.487065688144216,0.500755966455792,0.500304761382824
"26",0.52,0.545865136133795,0.506728673031089,0.531167597312456,0.516237999088431
"27",0.54,0.587700602451087,0.516818409382889,0.561646735759605,0.5332596016161
"28",0.56,0.629032696966739,0.526920993365706,0.591798456611593,0.549900682353345
"29",0.58,0.668421501009031,0.535959930149776,0.621260456009806,0.566233716834785
"30",0.6,0.701976764255984,0.544861547639284,0.650291091482754,0.582505285832701
"31",0.62,0.735870567156354,0.553726327514264,0.677831951322713,0.599003517398329
"32",0.64,0.767589259204462,0.562561180810753,0.704224981453265,0.615396876013844
"33",0.66,0.79655201746245,0.57135652470952,0.729770477731047,0.631135011096312
"34",0.68,0.82214920383095,0.580107020292498,0.753690161144645,0.646578267417446
"35",0.7,0.846121517794889,0.588807440169278,0.775970506370635,0.661681674098866
"36",0.72,0.867068349142143,0.597452680455972,0.796778870477202,0.676462370248341
"37",0.74,0.88548363741064,0.606037772116527,0.816112519251927,0.690885539500483
"38",0.76,0.901637223899981,0.614557891616788,0.833990067381538,0.705065883046014
"39",0.78,0.915729052548381,0.623009315330282,0.850448056521816,0.718787109313356
"40",0.8,0.927963328564968,0.631784156097342,0.865537486662635,0.732112522775949
"41",0.82,0.938540664936433,0.640831093471904,0.879320472025599,0.745030487382609
"42",0.84,0.947652514917,0.649409575404164,0.891867146938381,0.757531833360086
"43",0.86,0.955477542733172,0.657609853723548,0.90338141728707,0.76960977528483
"44",0.88,0.96217954903634,0.665717058327872,0.913679914415851,0.781259808517663
"45",0.9,0.967371215366886,0.673727540633118,0.922974297721513,0.792479587596336
"46",0.92,0.971621975726127,0.681637863860743,0.931343122710001,0.803268790192408
"47",0.94,0.975903320530345,0.689444806283135,0.938862906125892,0.813628970152425
"48",0.96,0.979552336958831,0.697145363573256,0.945607171504133,0.823563402974755
"49",0.98,0.982658591426685,0.704736750278129,0.951645768753194,0.833076926839379
"50",1,0.985300046907234,0.712216400441063,0.957044425051967,0.842175782025143
