"","s","prob","lower","upper"
"1",0,1.11022302462516e-16,1.11022302462516e-16,0
"2",0.01,0.0167486205584443,0.0126164529022688,0.0240075711762343
"3",0.02,0.0333053288436526,0.0251712778807147,0.0475064904455743
"4",0.03,0.0496723238618351,0.0376647759709005,0.0705075346900492
"5",0.04,0.0658517794221248,0.0500972467379118,0.0930212524603208
"6",0.05,0.081845844425296,0.0624689882835415,0.11505796881337
"7",0.06,0.0976566431491734,0.0747802972534355,0.136627790047693
"8",0.07,0.113286275530773,0.0870314688442081,0.157740608338166
"9",0.08,0.128736817445207,0.0992227968105182,0.178406106272718
"10",0.09,0.144010320981395,0.111354573472113,0.198633761292875
"11",0.1,0.159108814714615,0.123427089720839,0.218432850040232
"12",0.11,0.174034303975935,0.135440635027614,0.237812452610824
"13",0.12,0.188788771118549,0.14739549744937,0.256781456719372
"14",0.13,0.203374175781071,0.159291963635961,0.275348561775289
"15",0.14,0.217792455147807,0.171130318837033,0.293522282872335
"16",0.15,0.232045524206042,0.182910846908866,0.311310954693736
"17",0.16,0.246135276000385,0.194633830321179,0.328722735334575
"18",0.17,0.260063581884199,0.206299550163906,0.345765610043181
"19",0.18,0.273832291768141,0.217908286153931,0.362447394883268
"20",0.19,0.287443234365867,0.229460316641798,0.378775740318468
"21",0.2,0.300898217436916,0.240955918618386,0.394758134720926
"22",0.21,0.314199028026804,0.252395367721547,0.410401907805556
"23",0.22,0.327347432704379,0.26377893824272,0.425714233991535
"24",0.23,0.340345177796449,0.275106903133504,0.440702135692574
"25",0.24,0.353193989619726,0.286379534012204,0.455372486537486
"26",0.25,0.365895574710104,0.297597101170343,0.469732014522504
"27",0.26,0.378451620049319,0.308759873579146,0.48378730509683
"28",0.27,0.390863793289008,0.319868118895984,0.497544804182791
"29",0.28,0.403133742972201,0.330922103470799,0.511010821132021
"30",0.29,0.415263098752274,0.341922092352483,0.524191531619002
"31",0.3,0.427253471609394,0.352868349295237,0.5370929804733
"32",0.31,0.439106454064484,0.363761136764896,0.549721084451797
"33",0.32,0.450823620390739,0.374600715945221,0.562081634952187
"34",0.33,0.462406526822712,0.385387346744162,0.574180300668975
"35",0.34,0.473856711763008,0.396121287800087,0.586022630193212
"36",0.35,0.485175695986612,0.40680279648799,0.597614054557141
"37",0.36,0.496364982842873,0.417432128925655,0.608959889724934
"38",0.37,0.50742605845517,0.428009539979805,0.620065339030657
"39",0.38,0.518360391918297,0.438535283272205,0.63093549556458
"40",0.39,0.529169435493586,0.449009611185748,0.641575344508924
"41",0.4,0.539854624801784,0.459432774870505,0.651989765424132
"42",0.41,0.550417379013734,0.46980502424975,0.662183534486688
"43",0.42,0.560859101038862,0.480126608025947,0.672161326679528
"44",0.43,0.571181177711506,0.490397773686718,0.681927717936046
"45",0.44,0.581384979975111,0.500618767510777,0.691487187238667
"46",0.45,0.591471863064314,0.51078983457383,0.700844118672964
"47",0.46,0.601443166684942,0.520911218754459,0.71000280343825
"48",0.47,0.611300215191945,0.530983162739964,0.718967441815573
"49",0.48,0.621044317765295,0.541005908032184,0.727742145094015
"50",0.49,0.630676768583865,0.550979694953287,0.736330937456178
"51",0.5,0.640198846997318,0.560904762651535,0.744737757823721
"52",0.51,0.649611817696026,0.570781349107013,0.752966461663795
"53",0.52,0.658916930879043,0.580609691137341,0.761020822757208
"54",0.53,0.66811542242015,0.590390024403348,0.768904534929124
"55",0.54,0.677208514032001,0.600122583414726,0.776621213743097
"56",0.55,0.686197413428386,0.609807601535649,0.784174398159206
"57",0.56,0.695083314484638,0.619445310990372,0.791567552157069
"58",0.57,0.703867397396195,0.629035942868798,0.798804066324466
