"","mu","Ne","Log.likelihood"
"147",3e-06,26,-4735.35661233073
"148",4e-06,26,-4699.86509797442
"149",5e-06,26,-4701.1679049088
"150",6e-06,26,-4725.74661389678
"151",7e-06,26,-4766.39008886755
"152",8e-06,26,-4818.7757768689
"153",9e-06,26,-4880.16127456584
"154",1e-06,27,-5097.77649807909
"155",2e-06,27,-4832.48657224173
"156",3e-06,27,-4731.18297908427
"157",4e-06,27,-4697.02326860852
"158",5e-06,27,-4699.65806851443
"159",6e-06,27,-4725.5689596057
"160",7e-06,27,-4767.5283166153
"161",8e-06,27,-4821.26235627721
"162",9e-06,27,-4883.98051641125
"163",1e-06,28,-5091.62698316628
"164",2e-06,28,-4827.57320390537
"165",3e-06,28,-4727.50593787108
"166",4e-06,28,-4694.58273510556
"167",5e-06,28,-4698.45422334824
"168",6e-06,28,-4725.60198344394
"169",7e-06,28,-4768.79777939559
"170",8e-06,28,-4823.76896221963
"171",9e-06,28,-4887.72444629289
"172",1e-06,29,-5086.11588281299
"173",2e-06,29,-4823.20915162772
"174",3e-06,29,-4724.28910603988
"175",4e-06,29,-4692.51329613029
"176",5e-06,29,-4697.53234967828
"177",6e-06,29,-4725.82784756713
"178",7e-06,29,-4770.17094307026
"179",8e-06,29,-4826.29012148479
"180",9e-06,29,-4891.39377374332
"181",1e-06,30,-5081.19952260899
"182",2e-06,30,-4819.35640391735
"183",3e-06,30,-4721.50013529797
"184",4e-06,30,-4690.78826687037
"185",5e-06,30,-4696.87142645171
"186",6e-06,30,-4726.23119496386
"187",7e-06,30,-4771.63811494921
"188",8e-06,30,-4828.8218059848
"189",9e-06,30,-4894.9901355581
"190",1e-06,31,-5076.83862031539
"191",2e-06,31,-4815.98087896149
"192",3e-06,31,-4719.11014453414
"193",4e-06,31,-4689.38396719012
"194",5e-06,31,-4696.45297478429
"195",6e-06,31,-4726.78252141959
"196",7e-06,31,-4773.19121947411
"197",8e-06,31,-4831.36114223582
"198",9e-06,31,-4898.51586060264
"199",1e-06,32,-5072.99771726599
"200",2e-06,32,-4813.05190417276
"201",3e-06,32,-4717.09324750792
"202",4e-06,32,-4688.27929746391
"203",5e-06,32,-4696.26068193242
"204",6e-06,32,-4727.50223157036
"205",7e-06,32,-4774.82351847106
"206",8e-06,32,-4833.90617975087
"207",9e-06,32,-4901.97378634415
"208",1e-06,33,-5069.6446986027
"209",2e-06,33,-4810.54177846652
"210",3e-06,33,-4715.42615716792
"211",4e-06,33,-4687.4553849356
"212",5e-06,33,-4696.28008969587
"213",6e-06,33,-4728.3645786592
"214",7e-06,33,-4776.52938363255
"215",8e-06,33,-4836.45570556044
"216",9e-06,33,-4905.36711541237
"217",1e-06,34,-5066.75038623124
"218",2e-06,34,-4808.42540206119
"219",3e-06,34,-4714.08785229988
"220",4e-06,34,-4686.89528720999
"221",5e-06,34,-4696.49833475214
"222",6e-06,34,-4729.36077869026
"223",7e-06,34,-4778.30411054238
"224",8e-06,34,-4839.00909508085
"225",9e-06,34,-4908.69930330908
"226",1e-06,35,-5064.28819169277
"227",2e-06,35,-4806.67996175176
"228",3e-06,35,-4713.05929519731
"229",4e-06,35,-4686.58374232546
"230",5e-06,35,-4696.90393112996
"231",6e-06,35,-4730.48312192761
"232",7e-06,35,-4780.14376594576
"233",8e-06,35,-4841.56619178329
"234",9e-06,35,-4911.9739704776
"235",1e-06,36,-5062.23381869656
"236",2e-06,36,-4805.28466202563
"237",3e-06,36,-4712.32319136331
"238",4e-06,36,-4686.50695703795
"239",5e-06,36,-4697.48658707576
"240",6e-06,36,-4731.72481834576
"241",7e-06,36,-4782.04506178263
"242",8e-06,36,-4844.1272098118
"243",9e-06,36,-4915.19483350264
"244",1e-06,37,-5060.5650070466
"245",2e-06,37,-4804.22049428354
"246",3e-06,37,-4711.86378402506
"247",4e-06,37,-4686.65242663104
"248",5e-06,37,-4698.22091124146
"249",6e-06,37,-4733.07986803007
"250",7e-06,37,-4784.00525088414
"251",8e-06,37,-4846.69265497219
"252",9e-06,37,-4918.36565139505
"253",1e-06,38,-5059.26131125427
"254",2e-06,38,-4803.47003790276
"255",3e-06,38,-4711.66667764821
"256",4e-06,38,-4687.0087808803
"257",5e-06,38,-4699.1304005648
"258",6e-06,38,-4734.54295204213
"259",7e-06,38,-4786.02204028695
"260",8e-06,38,-4849.26326049894
"261",9e-06,38,-4921.49018380845
"262",1e-06,39,-5058.30390835951
"263",2e-06,39,-4803.01728804136
"264",3e-06,39,-4711.71868572236
"265",4e-06,39,-4687.56565182139
"266",5e-06,39,-4700.19180312962
"267",6e-06,39,-4736.10934015149
"268",7e-06,39,-4788.09351895017
"269",8e-06,39,-4851.83993475323
"270",9e-06,39,-4924.57215872162
"271",1e-06,40,-5057.6754304698
"272",2e-06,40,-4802.84750600894
"273",3e-06,40,-4712.00769896586
"274",4e-06,40,-4688.31355978813
"275",5e-06,40,-4701.39826909136
"276",6e-06,40,-4737.77481254276
"277",7e-06,40,-4790.21809729202
"278",8e-06,40,-4854.423718596
"279",9e-06,40,-4927.61524764311
"280",1e-06,41,-5057.35981830455
"281",2e-06,41,-4802.94708876754
"282",3e-06,41,-4712.52257078299
"283",4e-06,41,-4689.24381482544
"284",5e-06,41,-4702.74356533552
"285",6e-06,41,-4739.53559314048
"286",7e-06,41,-4792.39445647709
"287",8e-06,41,-4857.01575062859
"288",9e-06,41,-4930.62304681162
"289",1e-06,42,-5057.34219266913
"290",2e-06,42,-4803.30345471792
"291",3e-06,42,-4713.25301736124
"292",4e-06,42,-4690.34843110024
"293",5e-06,42,-4704.22200420007
"294",6e-06,42,-4741.38829264593
"295",7e-06,42,-4794.62150576037
"296",8e-06,42,-4859.61723885363
"297",9e-06,42,-4933.59906316859
"298",1e-06,43,-5057.60874129325
"299",2e-06,43,-4803.9049434048
"300",3e-06,43,-4714.18953024565
"301",4e-06,43,-4691.62005234212
"302",5e-06,43,-4705.82838178399
"303",6e-06,43,-4743.32985971273
"304",7e-06,43,-4796.89834653593
"305",8e-06,43,-4862.22943758959
"306",9e-06,43,-4936.54670414206
"307",1e-06,44,-5058.14661888783
"308",2e-06,44,-4804.74072716822
"309",3e-06,44,-4715.32329958343
"310",4e-06,44,-4693.05188668418
"311",5e-06,44,-4707.55792438452
"312",6e-06,44,-4745.35753897949
"313",7e-06,44,-4799.22424196222
"314",8e-06,44,-4864.85362869314
"315",9e-06,44,-4939.46927046491
"316",1e-06,45,-5058.94385861191
"317",2e-06,45,-4805.80073308148
"318",3e-06,45,-4716.64614653312
"319",4e-06,45,-4694.63764954192
"320",5e-06,45,-4709.40624184539
"321",6e-06,45,-4747.4688348906
"322",7e-06,45,-4801.59859125509
"323",8e-06,45,-4867.49110632322
"324",9e-06,45,-4942.36995141139
"325",1e-06,46,-5059.98929342693
"326",2e-06,46,-4807.07557377886
"327",3e-06,46,-4718.1504635678
"328",4e-06,46,-4696.35546248702
"329",5e-06,46,-4711.36928681146
"330",6e-06,46,-4749.66148042425
"331",7e-06,46,-4804.02090789225
"332",8e-06,46,-4870.14316462209
"333",9e-06,46,-4945.25182195314
"334",1e-06,47,-5061.27248604426
"335",2e-06,47,-4808.55648599429
"336",3e-06,47,-4719.8291616026
"337",4e-06,47,-4698.23166364694
"338",5e-06,47,-4713.44331903886
"339",6e-06,47,-4751.93340999606
"340",7e-06,47,-4806.49080110663
"341",8e-06,47,-4872.81108779965
"342",9e-06,47,-4948.11784143595
"343",1e-06,48,-5062.78366636609
"344",2e-06,48,-4810.23527580603
"345",3e-06,48,-4721.67562304489
"346",4e-06,48,-4700.2455099445
"347",5e-06,48,-4715.62487405217
"348",6e-06,48,-4754.28273591859
"349",7e-06,48,-4809.00796015314
"350",8e-06,48,-4875.49614220568
"351",9e-06,48,-4950.97085345831
"352",1e-06,49,-5064.51367547999
"353",2e-06,49,-4812.10426973254
"354",3e-06,49,-4723.68365999202
"355",4e-06,49,-4702.39229920331
"356",5e-06,49,-4717.91073554805
"357",6e-06,49,-4756.70772790956
"358",7e-06,49,-4811.57214091754
"359",8e-06,49,-4878.19957004223
"360",9e-06,49,-4953.81358668545
"361",1e-06,50,-5066.45391540235
"362",2e-06,50,-4814.15627095113
"363",3e-06,50,-4725.84747692333
"364",4e-06,50,-4704.66763734756
"365",5e-06,50,-4720.29791103756
"366",6e-06,50,-4759.20679520906
"367",7e-06,50,-4814.18315451091
"368",8e-06,50,-4880.92258443259
"369",9e-06,50,-4956.64865639587
"370",1e-06,51,-5068.59630387693
"371",2e-06,51,-4816.38452000847
"372",3e-06,51,-4728.16163732597
"373",4e-06,51,-4707.06741094097
"374",5e-06,51,-4722.78361029743
"375",6e-06,51,-4761.77847094345
"376",7e-06,51,-4816.84085754657
"377",8e-06,51,-4883.6663656143
"378",9e-06,51,-4959.47856658728
"379",1e-06,52,-5070.93323363409
"380",2e-06,52,-4818.7826594886
"381",3e-06,52,-4730.6210337688
"382",4e-06,52,-4709.58776266893
"383",5e-06,52,-4725.36522626217
"384",6e-06,52,-4764.42139842812
"385",7e-06,52,-4819.54514385145
"386",8e-06,52,-4886.43205805804
"387",9e-06,52,-4962.30571250584
"388",1e-06,53,-5073.45753559039
"389",2e-06,53,-4821.3447021667
"390",3e-06,53,-4733.22086101269
"391",4e-06,53,-4712.22506940493
"392",5e-06,53,-4728.04031804423
"393",6e-06,53,-4767.1343191407
"394",7e-06,53,-4822.29593739662
"395",8e-06,53,-4889.22076835425
"396",9e-06,53,-4965.13238348874
"397",1e-06,54,-5076.1624455443
"398",2e-06,54,-4824.06500225097
"399",3e-06,54,-4735.95659179696
"400",4e-06,54,-4714.97592254212
"401",5e-06,54,-4730.80659581225
"402",6e-06,54,-4769.91606214861
"403",7e-06,54,-4825.09318626928
"404",8e-06,54,-4892.03356373269
"405",9e-06,54,-4967.9607660305
"406",1e-06,55,-5079.04157397504
"407",2e-06,55,-4826.93822935713
"408",3e-06,55,-4738.82395499254
"409",4e-06,55,-4717.83711032331
"410",5e-06,55,-4733.66190729969
"411",6e-06,55,-4772.76553479241
"412",7e-06,55,-4827.93685753549
"413",8e-06,55,-4894.87147110285
"414",9e-06,55,-4970.79294700118
"415",1e-06,56,-5082.08887860536
"416",2e-06,56,-4829.95934491593
"417",3e-06,56,-4741.81891585111
"418",4e-06,56,-4720.80560193482
"419",5e-06,56,-4736.60422574009
"420",6e-06,56,-4775.68171446734
"421",7e-06,56,-4830.82693286523
"422",8e-06,56,-4897.73547652255
"423",9e-06,56,-4973.63091696021
"424",1e-06,57,-5085.2986394308
"425",2e-06,57,-4833.12358074279
"426",3e-06,57,-4744.93765811638
"427",4e-06,57,-4723.87853315853
"428",5e-06,57,-4739.63163906293
"429",6e-06,57,-4778.66364135912
"430",7e-06,57,-4833.7634048099
"431",8e-06,57,-4900.62652501796
"432",9e-06,57,-4976.47657351863
"433",1e-06,58,-5088.66543595548
"434",2e-06,58,-4836.42641953918
"435",3e-06,58,-4748.17656779388
"436",4e-06,58,-4727.05319340843
"437",5e-06,58,-4742.74234019564
"438",6e-06,58,-4781.71041201457
"439",7e-06,58,-4836.74627364066
"440",8e-06,58,-4903.54552069034
"441",9e-06,58,-4979.33172471199
"442",1e-06,59,-5092.18412640254
"443",2e-06,59,-4839.86357712288
"444",3e-06,59,-4751.53221839681
"445",4e-06,59,-4730.32701399478
"446",5e-06,59,-4745.93461834745
"447",6e-06,59,-4784.82117364255
"448",7e-06,59,-4839.77554466848
"449",8e-06,59,-4906.49332705369
"450",9e-06,59,-4982.19809235976
"451",1e-06,60,-5095.84982869897
"452",2e-06,60,-4843.43098620307
"453",3e-06,60,-4755.00135751339
"454",4e-06,60,-4733.69755748355
"455",5e-06,60,-4749.20685115958
"456",6e-06,60,-4787.99511905739
"457",7e-06,60,-4842.85122597771
"458",8e-06,60,-4909.4707675611
"459",9e-06,60,-4985.07731538085
"460",1e-06,61,-5099.65790305816
"461",2e-06,61,-4847.12478154593
"462",3e-06,61,-4758.57133333005
"463",4e-06,61,-4737.16250803059
"464",5e-06,61,-4752.55749762365
"465",6e-06,61,-4791.23148218174
"466",7e-06,61,-4845.97332651666
"467",8e-06,61,-4912.47862628018
"468",9e-06,61,-4987.97095305682
"469",1e-06,62,-5103.60393599734
"470",2e-06,62,-4850.94128639022
"471",3e-06,62,-4762.25166509882
"472",4e-06,62,-4740.71966258975
"473",5e-06,62,-4755.98509168792
"474",6e-06,62,-4794.52953404828
"475",7e-06,62,-4849.14185449313
"476",8e-06,62,-4915.51764868504
"477",9e-06,62,-4990.88048821951
"478",1e-06,63,-5107.6837256553
"479",2e-06,63,-4854.87699998717
"480",3e-06,63,-4766.04305687028
"481",4e-06,63,-4744.36692290066
"482",5e-06,63,-4759.48823646701
"483",6e-06,63,-4797.88857923471
"484",7e-06,63,-4852.356816036
"485",8e-06,63,-4918.58854254371
"486",9e-06,63,-4993.80733036318
"487",1e-06,64,-5111.89326828378
"488",2e-06,64,-4858.92858615794
"489",3e-06,64,-4769.93643854746
"490",4e-06,64,-4748.10228817684
"491",5e-06,64,-4763.06559899807
"492",6e-06,64,-4801.3079526863
"493",7e-06,64,-4855.61821408322
"494",8e-06,64,-4921.69197887082
"495",9e-06,64,-4996.75281866408
"496",1e-06,65,-5116.22874580014
"497",2e-06,65,-4863.09286276834
"498",3e-06,65,-4773.92926402622
"499",4e-06,65,-4751.92384842523
"500",5e-06,65,-4766.71590548138
"501",6e-06,65,-4804.78701687766
"502",7e-06,65,-4858.9260474651
"503",8e-06,65,-4924.82859293495
"504",9e-06,65,-4999.71822491034
"505",1e-06,66,-5120.68651430591
"506",2e-06,66,-4867.36679203589
"507",3e-06,66,-4778.01910171838
"508",4e-06,66,-4755.82977833127
"509",5e-06,66,-4770.43793695349
"510",6e-06,66,-4808.32515927626
"511",7e-06,66,-4862.28031015883
"512",8e-06,66,-4927.99898530079
"513",9e-06,66,-5002.70475633363
"514",1e-06,67,-5125.26309348138
"515",2e-06,67,-4871.74747159111
"516",3e-06,67,-4782.20362728077
"517",4e-06,67,-4759.8183316542
"518",5e-06,67,-4774.23052535183
"519",6e-06,67,-4811.92179007351
"520",7e-06,67,-4865.68099068576
"521",8e-06,67,-4931.20372289588
"522",9e-06,67,-5005.71355834329
"523",1e-06,68,-5129.95515677688
"524",2e-06,68,-4876.23212622435
"525",3e-06,68,-4786.4806169171
"526",4e-06,68,-4763.88783608371
"527",5e-06,68,-4778.09254992637
"528",6e-06,68,-4815.57634015235
"529",7e-06,68,-4869.12807163526
"530",8e-06,68,-4934.44334008972
"531",9e-06,68,-5008.7457171624
"532",1e-06,69,-5134.75952233081
"533",2e-06,69,-4880.8181002554
"534",3e-06,69,-4790.84794119958
"535",4e-06,69,-4768.03668851512
"536",5e-06,69,-4782.02293396632
"537",6e-06,69,-4819.28825926658
"538",7e-06,69,-4872.62152929646
"539",8e-06,69,-4937.71833977743
"540",9e-06,69,-5011.80226236227
"541",1e-06,70,-5139.67314454979
"542",2e-06,70,-4885.50285047153
"543",3e-06,70,-4795.30355936391
"544",4e-06,70,-4772.26335070115
"545",5e-06,70,-4786.020641809
"546",6e-06,70,-4823.05701440701
"547",7e-06,70,-4876.16133338203
"548",8e-06,70,-4941.02919446136
"549",9e-06,70,-5014.88416930438
"550",1e-06,71,-5144.69310629602
"551",2e-06,71,-4890.28393958236
"552",3e-06,71,-4799.84551403373
"553",4e-06,71,-4776.56634524527
"554",5e-06,71,-4790.08467610386
"555",6e-06,71,-4826.88208833477
"556",7e-06,71,-4879.74744683073
"557",8e-06,71,-4944.37634732408
"558",9e-06,71,-5017.99236148044
"559",1e-06,72,-5149.81661162722
"560",2e-06,72,-4895.15903015035
"561",3e-06,72,-4804.47192633856
"562",4e-06,72,-4780.94425190843
"563",5e-06,72,-4794.2140753067
"564",6e-06,72,-4830.76297826444
"565",7e-06,72,-4883.37982567888
"566",8e-06,72,-4947.76021328815
"567",9e-06,72,-5021.1277127629
"568",1e-06,73,-5155.04097904565
"569",2e-06,73,-4900.12587895052
"570",3e-06,73,-4809.18099138882
"571",4e-06,73,-4785.39570419647
"572",5e-06,73,-4798.4079113812
"573",6e-06,73,-4834.69919467829
"574",7e-06,73,-4887.05841899001
"575",8e-06,73,-4951.18118005895
"576",9e-06,73,-5024.29104956062
"577",1e-06,74,-5160.36363521169
"578",2e-06,74,-4905.18233172957
"579",3e-06,74,-4813.97097407638
"580",4e-06,74,-4789.91938620707
"581",5e-06,74,-4802.66528768926
"582",6e-06,74,-4838.69026026226
"583",7e-06,74,-4890.78316883297
"584",8e-06,74,-4954.63960914797
"585",9e-06,74,-5027.48315288723
"586",1e-06,75,-5165.7821090858
"587",2e-06,75,-4910.32631832725
"588",3e-06,75,-4818.84020517756
"589",4e-06,75,-4794.51402970997
"590",5e-06,75,-4806.98533705166
"591",6e-06,75,-4842.73570894587
"592",7e-06,75,-4894.55401030295
"593",8e-06,75,-4958.13583687378
"594",9e-06,75,-5030.70476034177
"595",1e-06,76,-5171.29402646393
"596",2e-06,76,-4915.55584813115
"597",3e-06,76,-4823.7870777272
"598",4e-06,76,-4799.17841144247
"599",5e-06,76,-4811.36721996374
"600",6e-06,76,-4846.83508503763
"601",7e-06,76,-4898.37087157777
"602",8e-06,76,-4961.67017533847
"603",9e-06,76,-5033.95656800614
"604",1e-06,77,-5176.8971048742
"605",2e-06,77,-4920.86900583863
"606",3e-06,77,-4828.81004364529
"607",4e-06,77,-4803.91135060136
"608",5e-06,77,-4815.81012295205
"609",6e-06,77,-4850.98794244751
"610",7e-06,77,-4902.23367400398
"611",8e-06,77,-4965.24291337905
"612",9e-06,77,-5037.23923226187
"613",1e-06,78,-5182.5891488075
"614",2e-06,78,-4926.26394750062
"615",3e-06,78,-4833.90761059466
"616",4e-06,78,-4808.71170651238
"617",5e-06,78,-4820.31325705787
"618",6e-06,78,-4855.19384398361
"619",7e-06,78,-4906.14233220864
"620",8e-06,78,-4968.85431749286
"621",9e-06,78,-5040.55337152826
"622",1e-06,79,-5188.36804525676
"623",2e-06,79,-4931.73889682606
"624",3e-06,79,-4839.07833905029
"625",4e-06,79,-4813.57837646662
"626",5e-06,79,-4824.87585643796
"627",6e-06,79,-4859.45236071909
"628",7e-06,79,-4910.09675423096
"629",8e-06,79,-4972.50463273534
"630",9e-06,79,-5043.89956792703
"631",1e-06,80,-5194.23175953837
"632",2e-06,80,-4937.29214172489
"633",3e-06,80,-4844.32083956341
"634",4e-06,80,-4818.51029370523
"635",5e-06,80,-4829.497177072
"636",6e-06,80,-4863.76307141976
"637",7e-06,80,-4914.09684167114
"638",8e-06,80,-4976.19408359034
"639",9e-06,80,-5047.27836887312
