"","freq1","low.95","high.95","low.50","high.50"
"1",0.02,0.018656212430313,0.219439412717309,0.074036845240477,0.144112697204782
"2",0.04,0.0209256620445211,0.231930888067165,0.080198798659024,0.154490329487746
"3",0.06,0.0234704531613235,0.24489138902873,0.0872779958081282,0.166754982972874
"4",0.08,0.0262803171582131,0.261678662699175,0.0950697115707045,0.179638462196055
"5",0.1,0.0292726598808999,0.275926307862655,0.103125097445725,0.1913077512001
"6",0.12,0.032594340243859,0.296411807688284,0.111694323722181,0.202795826863033
"7",0.14,0.0364304643677927,0.315657741185061,0.121345526252617,0.217159084419657
"8",0.16,0.0407562702463848,0.332587500101595,0.131453176534496,0.232774947269753
"9",0.18,0.045571470222308,0.353521785987244,0.141643992171792,0.246806312626265
"10",0.2,0.0509262079347376,0.373720826317717,0.153625370034317,0.262593706413029
"11",0.22,0.0568855104082497,0.392619878723357,0.165501948181017,0.278415213137626
"12",0.24,0.062796564482731,0.416787497046241,0.178267127290979,0.29452008232716
"13",0.26,0.0699913278643665,0.43685096960939,0.192753003748211,0.311743983100524
"14",0.28,0.0767268188376273,0.459132453699257,0.206995294981267,0.330049594568078
"15",0.3,0.0856286311868527,0.480009257887841,0.222029683346691,0.348387383085062
"16",0.32,0.0954659887104853,0.506510427938226,0.238183490262853,0.367459066796157
"17",0.34,0.10630211918743,0.530515545199671,0.253615119660422,0.3869455765199
"18",0.36,0.118207503180793,0.554193100391135,0.268963084137408,0.406500879160842
"19",0.38,0.131250427887706,0.577482652523254,0.286564997057673,0.426502270080774
"20",0.4,0.145495048654645,0.600577468401293,0.304644942366109,0.447499268580996
"21",0.42,0.160999143726731,0.625211724814034,0.322449481426186,0.467748489199969
"22",0.44,0.177811590632225,0.649214169526688,0.340503632489622,0.488738821219166
"23",0.46,0.196048021552034,0.674711038705156,0.36057213748813,0.511619090194135
"24",0.48,0.215423160448115,0.701382096812912,0.379137449820415,0.532873910507321
"25",0.5,0.233218261379492,0.719583048639519,0.398869910348213,0.554713125599163
"26",0.52,0.251336047281264,0.741255828589123,0.419899881756192,0.574779360484067
"27",0.54,0.270365043843684,0.761786174836963,0.441114780326123,0.595892861015283
"28",0.56,0.290276136725924,0.778843525983601,0.462036211701103,0.617817837840832
"29",0.58,0.311081770664416,0.795866349281794,0.48296825277576,0.637978418804553
"30",0.6,0.332941187553529,0.812509473501623,0.505204159016448,0.656642181216886
"31",0.62,0.355041372394871,0.826788852142031,0.526382945281938,0.675279720406294
"32",0.64,0.377917706257753,0.840576270447981,0.547465614834192,0.694129263590559
"33",0.66,0.401481368028058,0.853551329605174,0.568501185999918,0.712199984804905
"34",0.68,0.425349126252132,0.865693410364617,0.587724983778475,0.729544957346873
"35",0.7,0.453712832726625,0.87949022228253,0.606508579893459,0.746766143113931
"36",0.72,0.475323133104499,0.892199977069168,0.625130675296343,0.762984466099352
"37",0.74,0.498882377848128,0.903714467724425,0.644626221407383,0.779689541977273
"38",0.76,0.523650342475425,0.912613376481722,0.663525119293494,0.794506958746994
"39",0.78,0.552669203586204,0.920496753939079,0.680183201094132,0.809233152916939
"40",0.8,0.574436846023445,0.927721036392351,0.698090378881068,0.822728979649929
"41",0.82,0.596726122435943,0.934291251497765,0.715880667879942,0.834902079566638
"42",0.84,0.619932789867524,0.940085821055872,0.733364050160498,0.847379125359928
"43",0.86,0.64764113672589,0.945399230064842,0.749646576062483,0.858701160454635
"44",0.88,0.672134677039518,0.95026633100928,0.765834656834042,0.868566782745707
"45",0.9,0.690740789934834,0.954720336294113,0.779059533795273,0.878689998098811
"46",0.92,0.710885258548053,0.958792729995753,0.792904491808936,0.888353586597029
"47",0.94,0.726886858983076,0.962849322033422,0.806084646767472,0.897405450095965
"48",0.96,0.740277633998535,0.966976927757726,0.818498443106499,0.905529394975802
"49",0.98,0.753933814947944,0.970129866552875,0.830425921226907,0.912570481234664
"50",1,0.767298175514183,0.973039534356617,0.84175879924138,0.91941451659923
