"","mu","Ne","LL"
"147",3e-06,26,-3300.63662022309
"148",4e-06,26,-3276.8313957846
"149",5e-06,26,-3282.13938319225
"150",6e-06,26,-3305.86442977716
"151",7e-06,26,-3342.30088235819
"152",8e-06,26,-3388.02869586896
"153",9e-06,26,-3440.87785374531
"154",1e-06,27,-3579.10662648224
"155",2e-06,27,-3373.59305079533
"156",3e-06,27,-3297.83059611472
"157",4e-06,27,-3275.19479771827
"158",5e-06,27,-3281.67238043086
"159",6e-06,27,-3306.56719162099
"160",7e-06,27,-3344.16060417409
"161",8e-06,27,-3391.07094571703
"162",9e-06,27,-3445.09030762609
"163",1e-06,28,-3574.50292017926
"164",2e-06,28,-3370.08000687309
"165",3e-06,28,-3295.40837665864
"166",4e-06,28,-3273.86356485063
"167",5e-06,28,-3281.43229631029
"168",6e-06,28,-3307.41841844358
"169",7e-06,28,-3346.10282360447
"170",8e-06,28,-3394.10473190279
"171",9e-06,28,-3449.21582286453
"172",1e-06,29,-3570.40135593054
"173",2e-06,29,-3366.99561788915
"174",3e-06,29,-3293.34131814035
"175",4e-06,29,-3272.81399203442
"176",5e-06,29,-3281.40036446912
"177",6e-06,29,-3308.40428288583
"178",7e-06,29,-3348.10615910708
"179",8e-06,29,-3397.12610572465
"180",9e-06,29,-3453.25539041302
"181",1e-06,30,-3566.76742694069
"182",2e-06,30,-3364.30990732562
"183",3e-06,30,-3291.60397453425
"184",4e-06,30,-3272.02516395235
"185",5e-06,30,-3281.56020051251
"186",6e-06,30,-3309.51293169154
"187",7e-06,30,-3350.16328877917
"188",8e-06,30,-3400.13227684877
"189",9e-06,30,-3457.21075172229
"190",1e-06,31,-3563.57010297614
"191",2e-06,31,-3361.99601064342
"192",3e-06,31,-3290.17364720846
"193",4e-06,31,-3271.47854809138
"194",5e-06,31,-3281.89743825941
"195",6e-06,31,-3310.72139771216
"196",7e-06,31,-3352.26817973941
"197",8e-06,31,-3403.12137936142
"198",9e-06,31,-3461.0842080586
"199",1e-06,32,-3560.78138004802
"200",2e-06,32,-3360.02976263299
"201",3e-06,32,-3289.03000994117
"202",4e-06,32,-3271.15765742565
"203",5e-06,32,-3282.39943008759
"204",6e-06,32,-3312.04599607297
"205",7e-06,32,-3354.41586379893
"206",8e-06,32,-3406.09228510302
"207",9e-06,32,-3464.87847149919
"208",1e-06,33,-3558.3759004546
"209",2e-06,33,-3358.38935036704
"210",3e-06,33,-3288.15479478257
"211",4e-06,33,-3271.04776918766
"212",5e-06,33,-3283.05499861556
"213",6e-06,33,-3313.46673935813
"214",7e-06,33,-3356.60225495871
"215",8e-06,33,-3409.04445407175
"216",9e-06,33,-3468.59654824375
"217",1e-06,34,-3556.33063042286
"218",2e-06,34,-3357.05501970084
"219",3e-06,34,-3287.53152741633
"220",4e-06,34,-3271.13568908729
"221",5e-06,34,-3283.85422977871
"222",6e-06,34,-3314.97699392803
"223",7e-06,34,-3358.82400020294
"224",8e-06,34,-3411.97781407434
"225",9e-06,34,-3472.24164712019
"226",1e-06,35,-3554.62458520889
"227",2e-06,35,-3356.00882576798
"228",3e-06,35,-3287.14530304668
"229",4e-06,35,-3271.40955259392
"230",5e-06,35,-3284.7882995054
"231",6e-06,35,-3316.57097636345
"232",7e-06,35,-3361.07835695887
"233",8e-06,35,-3414.89266357779
"234",9e-06,35,-3475.81710782961
"235",1e-06,36,-3553.23859353507
"236",2e-06,36,-3355.2344198348
"237",3e-06,36,-3286.98259567244
"238",4e-06,36,-3271.85865662687
"239",5e-06,36,-3285.84932782395
"240",6e-06,36,-3318.24362999019
"241",7e-06,36,-3363.36309203796
"242",8e-06,36,-3417.78959306853
"243",9e-06,36,-3479.32634472105
"244",1e-06,37,-3552.15509481607
"245",2e-06,37,-3354.71686637845
"246",3e-06,37,-3287.03109501611
"247",4e-06,37,-3272.47331633723
"248",5e-06,37,-3287.01755719216
"249",6e-06,37,-3319.99052136526
"250",7e-06,37,-3365.67639797492
"251",8e-06,37,-3420.66942124127
"252",9e-06,37,-3482.77280283267
"253",1e-06,38,-3551.35796386027
"254",2e-06,38,-3354.44248542087
"255",3e-06,38,-3287.27956649118
"256",4e-06,38,-3273.24474270721
"257",5e-06,38,-3288.31169773351
"258",6e-06,38,-3321.80775314108
"259",7e-06,38,-3368.01682352285
"260",8e-06,38,-3423.53314312788
"261",9e-06,38,-3486.15992365216
"262",1e-06,39,-3550.83235870761
"263",2e-06,39,-3354.39871607304
"264",3e-06,39,-3287.71773045095
"265",4e-06,39,-3274.16493750469
"266",5e-06,39,-3289.71367771253
"267",6e-06,39,-3323.69189042999
"268",7e-06,39,-3370.38321572531
"269",8e-06,39,-3426.38188787377
"270",9e-06,39,-3489.49111859979
"271",1e-06,40,-3550.56458804666
"272",2e-06,40,-3354.57399797759
"273",3e-06,40,-3288.33615765876
"274",4e-06,40,-3275.22660278022
"275",5e-06,40,-3291.21833063311
"276",6e-06,40,-3325.63989835648
"277",7e-06,40,-3372.77467149215
"278",8e-06,40,-3429.21688434268
"279",9e-06,40,-3492.76974865824
"280",1e-06,41,-3550.54199526943
"281",2e-06,41,-3354.95766792386
"282",3e-06,41,-3289.12617846258
"283",4e-06,41,-3276.42306260099
"284",5e-06,41,-3292.82097444328
"285",6e-06,41,-3327.64908890993
"286",7e-06,41,-3375.19049701663
"287",8e-06,41,-3432.03943309079
"288",9e-06,41,-3495.99910890892
"289",1e-06,42,-3550.75285672808
"290",2e-06,42,-3355.53986937843
"291",3e-06,42,-3290.07980359874
"292",4e-06,42,-3277.7481951293
"293",5e-06,42,-3294.51735488698
"294",6e-06,42,-3329.71707557184
"295",7e-06,42,-3377.63017367239
"296",8e-06,42,-3434.85088354126
"297",9e-06,42,-3499.18241697958
"298",1e-06,43,-3551.18629216036
"299",2e-06,43,-3356.3114730535
"300",3e-06,43,-3291.18965490473
"301",4e-06,43,-3279.19637347811
"302",5e-06,43,-3296.30359650294
