"","Ne","fraction.removed"
"1",32,0
"2",32,0.0158730158730159
"3",40,0.0317460317460317
"4",48,0.0476190476190476
"5",50,0.0634920634920635
"6",51,0.0793650793650794
"7",54,0.0952380952380952
"8",56,0.111111111111111
"9",57,0.126984126984127
"10",58,0.142857142857143
"11",62,0.158730158730159
"12",65,0.174603174603175
"13",69,0.19047619047619
"14",70,0.206349206349206
"15",77,0.222222222222222
"16",93,0.238095238095238
"17",108,0.253968253968254
"18",110,0.26984126984127
"19",118,0.285714285714286
"20",117,0.301587301587302
"21",114,0.317460317460317
"22",113,0.333333333333333
"23",112,0.349206349206349
"24",118,0.365079365079365
"25",123,0.380952380952381
"26",143,0.396825396825397
"27",149,0.412698412698413
"28",154,0.428571428571429
"29",159,0.444444444444444
"30",152,0.46031746031746
"31",157,0.476190476190476
"32",161,0.492063492063492
"33",153,0.507936507936508
"34",145,0.523809523809524
"35",159,0.53968253968254
"36",162,0.555555555555556
"37",184,0.571428571428571
"38",172,0.587301587301587
"39",161,0.603174603174603
"40",183,0.619047619047619
"41",169,0.634920634920635
"42",155,0.650793650793651
"43",180,0.666666666666667
"44",252,0.682539682539683
"45",240,0.698412698412698
"46",213,0.714285714285714
"47",201,0.73015873015873
"48",349,0.746031746031746
"49",301,0.761904761904762
"50",301,0.777777777777778
"51",301,0.793650793650794
"52",301,0.80952380952381
"53",301,0.825396825396825
"54",301,0.841269841269841
"55",301,0.857142857142857
"56",420,0.873015873015873
