"","Id","run","cov","LAURING_ID","dup"
"1","1102","perth",29377.9581909996,"1102",NA
"2","1103","perth",18425.2549383633,"1103",NA
"3","1103","perth_2",38.3058814792812,"1103",NA
"4","1107","perth",260.392469924254,"1107",NA
"5","1109","perth",9989.59512847171,"1109",NA
"6","1110","perth",23299.2836774098,"1110",NA
"7","1112","cali09",17796.126555862,"1112",NA
"8","1112","cali09_2",16560.3519415667,"1112",NA
"9","1116","perth",21496.3359572256,"1116",NA
"10","1120","cali09",14165.7260937616,"1120",NA
"11","1121","perth",23529.0582949651,"1121",NA
"12","1121","perth_2",17796.5548046933,"1121",NA
"13","1122","perth",19241.0915639388,"1122",NA
"14","1122","perth_2",23337.1739937621,"1122",NA
"15","1123","perth",20057.0428486559,"1123",NA
"16","1125","perth",13776.3686321105,"1125",NA
"17","1125","perth_2",19060.1391653052,"1125",NA
"18","1129","perth",105.499183127878,"1129",NA
"19","1129","perth_2",19386.173251151,"1129",NA
"20","1130","perth",13236.0820585177,"1130",NA
"21","1131","perth",12799.6881033715,"1131",NA
"22","1132","cali09",20704.3069240516,"1132",NA
"23","1133","perth",17391.0268082578,"1133",NA
"24","1134","perth",23953.6367889499,"1134",NA
"25","1134","perth_2",23327.6379771276,"1134",NA
"26","1136","cali09",11082.6229410449,"1136",NA
"27","1137","cali09",12298.3623015577,"1137",NA
"28","1137","cali09_2",15518.7611239472,"1137",NA
"29","1139","perth",16242.098247438,"1139",NA
"30","1139","perth_2",20230.8130105451,"1139",NA
"31","1142","cali09",10574.7346649773,"1142",NA
"32","1142","cali09_2",13154.7246776478,"1142",NA
"33","1143","cali09",8475.06335246329,"1143",NA
"34","1143","cali09_2",12544.6040843706,"1143",NA
"35","1144","cali09",9664.3154952672,"1144",NA
"36","1144","cali09_2",12368.8827606768,"1144",NA
"37","1145","perth",101.118075152235,"1145",NA
"38","1148","perth",21370.0409921283,"1148",NA
"39","1149","perth",14411.533491757,"1149",NA
"40","1149","perth_2",18694.6934501708,"1149",NA
"41","1150","perth",14784.1153274915,"1150",NA
"42","1150","perth_2",17963.9036090896,"1150",NA
"43","1151","perth",15793.0377989009,"1151",NA
"44","1152","perth",4481.30372790732,"1152",NA
"45","1153","perth",15261.5411406505,"1153",NA
"46","1153","perth_2",14840.3070696569,"1153",NA
"47","1154","perth",22246.4798009802,"1154",NA
"48","1154","perth_2",15553.7854596762,"1154",NA
"49","1156","cali09",8933.80867556086,"1156",NA
"50","1157","cali09",8403.51397480808,"1157",NA
"51","1158","cali09",17558.2309756279,"1158",NA
"52","1161","perth",27482.1895885935,"1161",NA
"53","1162","perth",30134.6526065647,"1162",NA
"54","1162","perth_2",18243.2731323333,"1162",NA
"55","1163","perth",32172.985444824,"1163",NA
"56","1164","perth",40242.8751670875,"1164",NA
"57","1164","perth_2",27290.4431159958,"1164",NA
"58","1165","perth",22426.3387791475,"1165",NA
"59","1165","perth_2",30018.098247438,"1165",NA
"60","1167","perth",20303.4515817615,"1167",NA
"61","1167","perth_2",454.945566612209,"1167",NA
"62","1168","perth",36397.512401604,"1168",NA
"63","1168","perth_2",24776.5309668795,"1168",NA
"64","1171","perth",23436.8055101738,"1171",NA
"65","1173","perth",41645.046561711,"1173",NA
"66","1173","perth_2",24459.0643101144,"1173",NA
"67","1174","perth",19139.0550274766,"1174",NA
"68","1174","perth_2",24826.4288578643,"1174",NA
"69","1175","perth",37389.141912966,"1175",NA
"70","1178","perth",21012.296970147,"1178",NA
"71","1179","perth",22963.2429080648,"1179",NA
"72","1179","perth_2",26973.9246249814,"1179",NA
"73","1180","perth",38830.3275657211,"1180",NA
"74","1181","perth",21326.7989751968,"1181",NA
"75","1182","perth",21849.2909549978,"1182",NA
"76","1185","perth",20424.4532155057,"1185",NA
"77","1201","perth",23941.5601514926,"1201",NA
"78","1201","perth_2",4946.93368483588,"1201",NA
"79","1203","perth",18609.3134561117,"1203",NA
"80","1203","perth_2",26443.8816278034,"1203",NA
"81","1204","perth",20210.1638199911,"1204",NA
"82","1204","perth_2",25548.9529184613,"1204",NA
"83","1205","perth",16882.1497846428,"1205",NA
"84","1205","perth_2",19320.0334174959,"1205",NA
"85","1206","perth",28926.7750631219,"1206",NA
"86","1206","perth_2",6.22939254418536,"1206",NA
"87","1207","perth",3082.32021387197,"1207",NA
"88","1208","perth",2148.43309074707,"1208",NA
"89","1209","perth",104.862542700134,"1209",NA
"90","1210","perth",8644.22679340561,"1210",NA
"91","1212","perth",472.937397890985,"1212",NA
"92","1213","perth",23340.0320807961,"1213",NA
"93","1213","perth_2",21456.2373384821,"1213",NA
"94","1216","perth",13118.857344423,"1216",NA
"95","1217","perth",19007.9639091044,"1217",NA
"96","1217","perth_2",18365.5947571662,"1217",NA
"97","1218","perth",3489.23110054953,"1218",NA
"98","1221","perth",22310.752562008,"1221",NA
"99","1221","perth_2",20649.4907173622,"1221",NA
