"X30","X50","X100"
33.0,59.0,181.0
32.0,63.0,191.0
32.0,49.0,121.0
33.0,62.0,136.0
44.0,53.0,117.0
39.0,56.0,113.0
30.0,72.0,104.0
33.0,70.0,103.0
27.0,55.0,149.0
32.0,62.0,120.0
33.0,45.0,108.0
32.0,41.0,86.0
30.0,64.0,86.0
32.0,80.0,114.0
41.0,29.0,124.0
33.0,58.0,113.0
32.0,47.0,109.0
33.0,59.0,87.0
32.0,50.0,98.0
37.0,61.0,95.0
33.0,55.0,73.0
32.0,58.0,75.0
53.0,73.0,112.0
32.0,72.0,115.0
32.0,40.0,117.0
28.0,45.0,88.0
30.0,54.0,171.0
36.0,47.0,117.0
33.0,41.0,92.0
34.0,52.0,174.0
32.0,57.0,105.0
27.0,62.0,125.0
32.0,52.0,124.0
32.0,58.0,94.0
32.0,47.0,97.0
32.0,64.0,142.0
32.0,46.0,130.0
27.0,35.0,107.0
28.0,58.0,120.0
33.0,48.0,125.0
32.0,71.0,86.0
44.0,121.0,77.0
33.0,54.0,90.0
30.0,68.0,133.0
31.0,77.0,84.0
27.0,54.0,132.0
53.0,101.0,126.0
38.0,40.0,82.0
40.0,44.0,132.0
32.0,57.0,156.0
33.0,66.0,161.0
32.0,45.0,107.0
33.0,52.0,105.0
33.0,59.0,136.0
33.0,49.0,104.0
32.0,49.0,102.0
32.0,57.0,167.0
33.0,73.0,121.0
30.0,33.0,113.0
40.0,90.0,102.0
32.0,73.0,106.0
38.0,65.0,114.0
31.0,63.0,84.0
46.0,70.0,78.0
35.0,61.0,95.0
31.0,70.0,137.0
32.0,53.0,97.0
37.0,62.0,77.0
40.0,47.0,122.0
43.0,47.0,94.0
49.0,33.0,93.0
32.0,56.0,92.0
28.0,48.0,107.0
31.0,78.0,104.0
33.0,49.0,120.0
41.0,49.0,178.0
32.0,75.0,158.0
40.0,55.0,125.0
32.0,61.0,122.0
33.0,33.0,151.0
32.0,43.0,94.0
33.0,62.0,100.0
33.0,54.0,109.0
29.0,60.0,96.0
40.0,53.0,89.0
33.0,62.0,101.0
33.0,51.0,96.0
44.0,51.0,154.0
33.0,73.0,82.0
41.0,63.0,108.0
33.0,70.0,76.0
32.0,45.0,90.0
36.0,54.0,138.0
30.0,67.0,202.0
50.0,65.0,134.0
32.0,56.0,140.0
44.0,50.0,98.0
54.0,59.0,91.0
32.0,68.0,112.0
32.0,48.0,171.0
32.0,51.0,111.0
30.0,68.0,174.0
34.0,50.0,107.0
32.0,49.0,120.0
40.0,57.0,115.0
32.0,67.0,107.0
30.0,68.0,100.0
34.0,63.0,108.0
35.0,56.0,131.0
33.0,77.0,155.0
32.0,61.0,154.0
33.0,59.0,73.0
30.0,53.0,101.0
33.0,51.0,69.0
27.0,63.0,94.0
33.0,50.0,168.0
33.0,60.0,80.0
32.0,53.0,99.0
32.0,46.0,141.0
35.0,49.0,96.0
32.0,53.0,95.0
34.0,49.0,154.0
33.0,53.0,143.0
43.0,68.0,172.0
33.0,61.0,103.0
30.0,50.0,79.0
39.0,50.0,112.0
56.0,62.0,81.0
36.0,46.0,110.0
32.0,68.0,110.0
33.0,63.0,80.0
33.0,43.0,99.0
32.0,51.0,145.0
35.0,51.0,125.0
33.0,78.0,115.0
33.0,63.0,139.0
33.0,61.0,86.0
33.0,68.0,97.0
30.0,63.0,140.0
31.0,58.0,112.0
32.0,56.0,97.0
32.0,47.0,146.0
33.0,36.0,142.0
43.0,45.0,113.0
35.0,47.0,125.0
32.0,48.0,79.0
33.0,64.0,113.0
32.0,57.0,91.0
32.0,40.0,93.0
51.0,38.0,140.0
33.0,57.0,143.0
30.0,43.0,125.0
32.0,61.0,108.0
32.0,62.0,101.0
27.0,63.0,78.0
33.0,65.0,101.0
33.0,63.0,168.0
32.0,45.0,107.0
32.0,78.0,91.0
32.0,67.0,105.0
33.0,40.0,194.0
32.0,43.0,129.0
31.0,50.0,94.0
32.0,53.0,104.0
28.0,52.0,106.0
32.0,53.0,111.0
35.0,55.0,123.0
33.0,59.0,100.0
32.0,47.0,111.0
33.0,44.0,91.0
45.0,51.0,84.0
33.0,46.0,143.0
32.0,55.0,88.0
44.0,50.0,120.0
32.0,44.0,84.0
32.0,66.0,130.0
32.0,47.0,76.0
33.0,70.0,123.0
31.0,46.0,120.0
30.0,45.0,88.0
31.0,70.0,109.0
33.0,33.0,90.0
33.0,50.0,194.0
33.0,52.0,91.0
32.0,51.0,101.0
30.0,56.0,92.0
33.0,56.0,83.0
31.0,54.0,110.0
33.0,62.0,120.0
31.0,50.0,114.0
33.0,67.0,159.0
33.0,56.0,94.0
35.0,70.0,117.0
39.0,50.0,99.0
30.0,67.0,202.0
53.0,69.0,121.0
58.0,58.0,134.0
31.0,47.0,106.0
30.0,63.0,140.0
32.0,53.0,94.0
30.0,69.0,143.0
30.0,43.0,139.0
35.0,70.0,140.0
30.0,46.0,90.0
33.0,58.0,125.0
30.0,56.0,149.0
33.0,48.0,211.0
39.0,48.0,87.0
32.0,31.0,115.0
32.0,58.0,115.0
33.0,35.0,90.0
33.0,74.0,138.0
32.0,57.0,109.0
37.0,55.0,77.0
33.0,47.0,132.0
30.0,57.0,102.0
36.0,58.0,131.0
32.0,53.0,88.0
39.0,51.0,124.0
33.0,57.0,99.0
40.0,40.0,118.0
33.0,42.0,89.0
32.0,58.0,90.0
41.0,50.0,121.0
32.0,80.0,133.0
33.0,63.0,105.0
47.0,54.0,164.0
33.0,52.0,133.0
32.0,62.0,104.0
32.0,77.0,121.0
33.0,54.0,81.0
45.0,45.0,146.0
30.0,42.0,122.0
33.0,70.0,121.0
32.0,64.0,85.0
43.0,64.0,204.0
32.0,52.0,132.0
35.0,70.0,107.0
35.0,56.0,132.0
34.0,40.0,103.0
32.0,58.0,143.0
35.0,39.0,141.0
39.0,49.0,146.0
43.0,69.0,159.0
30.0,38.0,195.0
33.0,68.0,80.0
32.0,53.0,104.0
30.0,58.0,110.0
33.0,58.0,111.0
32.0,44.0,94.0
32.0,47.0,121.0
33.0,57.0,100.0
35.0,47.0,121.0
33.0,55.0,92.0
33.0,32.0,186.0
33.0,62.0,135.0
33.0,54.0,111.0
30.0,58.0,95.0
32.0,55.0,92.0
33.0,60.0,177.0
36.0,47.0,118.0
30.0,50.0,73.0
33.0,62.0,100.0
46.0,61.0,97.0
30.0,48.0,120.0
33.0,70.0,89.0
38.0,52.0,105.0
32.0,52.0,102.0
33.0,82.0,103.0
33.0,48.0,99.0
33.0,46.0,133.0
40.0,59.0,115.0
35.0,64.0,107.0
33.0,79.0,116.0
33.0,70.0,131.0
54.0,70.0,113.0
32.0,44.0,78.0
32.0,64.0,96.0
42.0,61.0,131.0
27.0,49.0,104.0
32.0,51.0,159.0
27.0,43.0,150.0
33.0,68.0,103.0
37.0,49.0,131.0
33.0,71.0,115.0
32.0,40.0,142.0
40.0,47.0,191.0
40.0,40.0,106.0
33.0,73.0,119.0
30.0,62.0,121.0
32.0,50.0,116.0
42.0,69.0,126.0
33.0,40.0,141.0
41.0,52.0,144.0
33.0,35.0,113.0
40.0,64.0,149.0
33.0,58.0,97.0
33.0,52.0,109.0
33.0,49.0,160.0
47.0,61.0,99.0
30.0,58.0,150.0
32.0,61.0,106.0
33.0,74.0,119.0
33.0,57.0,78.0
40.0,45.0,101.0
34.0,49.0,97.0
32.0,48.0,128.0
44.0,81.0,126.0
33.0,51.0,111.0
27.0,74.0,155.0
40.0,54.0,145.0
35.0,56.0,75.0
34.0,35.0,95.0
51.0,76.0,143.0
32.0,47.0,126.0
33.0,52.0,90.0
30.0,52.0,104.0
33.0,35.0,106.0
32.0,45.0,91.0
33.0,76.0,249.0
33.0,58.0,166.0
32.0,66.0,89.0
33.0,47.0,95.0
41.0,47.0,250.0
32.0,83.0,121.0
30.0,55.0,158.0
31.0,43.0,157.0
33.0,64.0,125.0
46.0,67.0,90.0
32.0,62.0,88.0
35.0,43.0,111.0
30.0,45.0,149.0
33.0,51.0,115.0
32.0,85.0,107.0
28.0,54.0,134.0
33.0,46.0,174.0
32.0,42.0,114.0
33.0,47.0,103.0
31.0,68.0,120.0
40.0,40.0,99.0
35.0,62.0,116.0
33.0,44.0,111.0
30.0,49.0,117.0
53.0,44.0,104.0
49.0,55.0,91.0
32.0,35.0,128.0
33.0,53.0,89.0
33.0,43.0,159.0
30.0,52.0,121.0
32.0,57.0,107.0
30.0,45.0,86.0
33.0,56.0,101.0
27.0,55.0,125.0
30.0,46.0,110.0
33.0,49.0,119.0
42.0,62.0,84.0
32.0,48.0,128.0
32.0,60.0,114.0
47.0,46.0,88.0
32.0,59.0,95.0
35.0,33.0,110.0
33.0,63.0,95.0
38.0,82.0,137.0
29.0,64.0,116.0
33.0,51.0,157.0
56.0,44.0,168.0
32.0,68.0,113.0
33.0,46.0,105.0
33.0,57.0,158.0
35.0,57.0,134.0
41.0,33.0,102.0
32.0,70.0,122.0
32.0,52.0,100.0
40.0,50.0,74.0
31.0,57.0,117.0
41.0,48.0,241.0
32.0,54.0,100.0
29.0,93.0,112.0
32.0,56.0,100.0
45.0,97.0,104.0
30.0,42.0,92.0
33.0,76.0,86.0
39.0,47.0,69.0
40.0,61.0,97.0
32.0,40.0,105.0
35.0,61.0,89.0
28.0,49.0,136.0
31.0,56.0,100.0
30.0,68.0,115.0
32.0,67.0,127.0
40.0,63.0,80.0
40.0,67.0,79.0
32.0,44.0,127.0
34.0,51.0,109.0
32.0,47.0,170.0
44.0,57.0,123.0
30.0,52.0,79.0
33.0,47.0,78.0
40.0,61.0,67.0
41.0,68.0,149.0
28.0,32.0,159.0
33.0,55.0,151.0
33.0,61.0,105.0
34.0,41.0,109.0
32.0,55.0,97.0
32.0,58.0,136.0
31.0,50.0,99.0
32.0,50.0,115.0
33.0,62.0,79.0
32.0,65.0,158.0
33.0,76.0,129.0
33.0,69.0,114.0
32.0,59.0,103.0
32.0,51.0,118.0
38.0,50.0,110.0
39.0,76.0,116.0
33.0,51.0,152.0
32.0,43.0,147.0
28.0,62.0,152.0
30.0,79.0,139.0
33.0,49.0,110.0
33.0,47.0,109.0
34.0,60.0,127.0
27.0,57.0,106.0
40.0,75.0,97.0
50.0,50.0,172.0
32.0,48.0,77.0
32.0,41.0,88.0
32.0,52.0,139.0
52.0,51.0,104.0
34.0,32.0,139.0
33.0,62.0,183.0
27.0,77.0,101.0
33.0,61.0,88.0
40.0,48.0,189.0
32.0,62.0,92.0
48.0,31.0,152.0
41.0,76.0,119.0
33.0,67.0,98.0
34.0,44.0,131.0
27.0,64.0,152.0
32.0,62.0,116.0
30.0,65.0,114.0
30.0,68.0,124.0
32.0,60.0,153.0
32.0,44.0,75.0
33.0,58.0,154.0
33.0,46.0,122.0
33.0,65.0,151.0
32.0,61.0,151.0
28.0,44.0,133.0
32.0,52.0,95.0
33.0,65.0,197.0
33.0,60.0,112.0
32.0,52.0,127.0
33.0,47.0,134.0
33.0,48.0,114.0
33.0,55.0,69.0
32.0,70.0,177.0
33.0,47.0,137.0
32.0,57.0,83.0
40.0,52.0,104.0
32.0,59.0,123.0
32.0,63.0,93.0
33.0,67.0,112.0
27.0,53.0,94.0
32.0,33.0,97.0
30.0,47.0,158.0
35.0,51.0,118.0
33.0,52.0,118.0
30.0,113.0,105.0
36.0,68.0,89.0
32.0,59.0,137.0
33.0,57.0,92.0
33.0,57.0,125.0
32.0,47.0,136.0
33.0,54.0,122.0
32.0,50.0,147.0
32.0,68.0,102.0
33.0,57.0,82.0
33.0,54.0,67.0
31.0,42.0,190.0
33.0,54.0,89.0
33.0,55.0,126.0
45.0,58.0,105.0
51.0,54.0,126.0
33.0,76.0,95.0
47.0,69.0,168.0
32.0,44.0,173.0
32.0,53.0,74.0
30.0,62.0,119.0
33.0,41.0,177.0
34.0,43.0,128.0
40.0,47.0,110.0
30.0,62.0,178.0
32.0,51.0,105.0
32.0,40.0,140.0
27.0,55.0,122.0
34.0,70.0,110.0
33.0,55.0,112.0
33.0,63.0,89.0
33.0,42.0,192.0
31.0,66.0,101.0
33.0,73.0,109.0
33.0,63.0,89.0
33.0,57.0,97.0
32.0,50.0,108.0
44.0,53.0,198.0
31.0,40.0,132.0
30.0,46.0,75.0
32.0,63.0,107.0
33.0,68.0,115.0
33.0,63.0,129.0
32.0,45.0,94.0
32.0,64.0,107.0
40.0,62.0,109.0
35.0,60.0,94.0
33.0,52.0,113.0
32.0,52.0,82.0
43.0,57.0,91.0
30.0,49.0,82.0
32.0,48.0,107.0
32.0,56.0,95.0
35.0,43.0,96.0
40.0,63.0,122.0
28.0,60.0,97.0
33.0,57.0,77.0
32.0,60.0,103.0
33.0,45.0,103.0
32.0,64.0,124.0
30.0,42.0,78.0
27.0,47.0,133.0
34.0,56.0,102.0
34.0,46.0,129.0
32.0,64.0,97.0
44.0,45.0,109.0
36.0,53.0,124.0
33.0,51.0,131.0
32.0,60.0,85.0
33.0,45.0,170.0
32.0,57.0,133.0
33.0,62.0,89.0
32.0,56.0,135.0
42.0,65.0,117.0
27.0,67.0,112.0
32.0,50.0,110.0
33.0,56.0,75.0
30.0,58.0,119.0
32.0,55.0,131.0
32.0,42.0,94.0
42.0,48.0,110.0
30.0,78.0,107.0
36.0,68.0,79.0
31.0,84.0,100.0
35.0,58.0,128.0
33.0,57.0,106.0
32.0,71.0,98.0
35.0,54.0,123.0
33.0,43.0,102.0
46.0,60.0,92.0
32.0,51.0,124.0
32.0,57.0,128.0
23.0,41.0,106.0
32.0,72.0,94.0
35.0,40.0,82.0
33.0,33.0,106.0
33.0,53.0,117.0
30.0,66.0,147.0
33.0,72.0,140.0
38.0,51.0,169.0
33.0,43.0,117.0
33.0,61.0,146.0
33.0,63.0,121.0
33.0,58.0,110.0
29.0,88.0,94.0
33.0,33.0,113.0
35.0,53.0,104.0
33.0,73.0,149.0
38.0,70.0,122.0
32.0,50.0,119.0
32.0,35.0,140.0
44.0,48.0,116.0
28.0,53.0,137.0
43.0,49.0,91.0
30.0,63.0,94.0
35.0,46.0,139.0
32.0,45.0,96.0
47.0,61.0,95.0
33.0,48.0,178.0
